Zodis          Pasikartoja    Eilutese  
reached        3              5 14 20 
recognized     2              1 52 
right          2              13 16 
river          26             1 2 2 3 4 4 6 7 7 7 8 9 9 10 15 16 17 17 17 18 21 22 32 32 32 45 
rocks          2              4 10 
said           9              11 14 16 23 24 25 26 27 29 
salt           9              3 4 4 4 5 5 17 31 32 
same           2              32 34 
saw            3              34 34 53 
say            2              10 26 
sea            3              4 6 17 
see            4              13 13 14 23 
seemed         6              31 31 38 41 53 54 
seen           5              15 27 33 39 51 
share          2              24 33 
she            15             7 14 14 20 33 49 51 52 52 52 52 53 54 54 54 
short          2              3 27 
shout          2              19 24 
side           3              9 9 35 
sighed         2              7 53 
silhouette     4              1 2 13 52 
simple         2              4 22 
skilled        2              19 32 
sky            2              15 17 
sleep          4              2 7 36 45 
small          2              5 28 
smiled         2              33 34 
smiling        2              29 30 
so             9              4 16 26 31 32 33 33 45 54 
some           3              18 32 53 
something      4              16 33 41 53 
sometimes      2              15 36 
spear          2              20 20 
spoke          4              10 31 40 53 
spot           2              2 2 
stared         2              18 39 
start          2              13 43 
startled       2              2 18 
still          2              22 24 
stranger       2              28 31 
strangers      2              7 27 
strong         3              14 26 27 
such           8              10 15 20 27 39 40 42 42 
sun            2              17 37 
sunrise        2              9 9 
sure           2              28 50 
tall           2              2 7 
than           5              9 31 31 37 53 
that           27             1 2 2 4 7 9 9 10 10 13 13 14 14 14 15 15 17 20 31 32 33 36 38 40 41 53 54 
the            215            1 1 1 1 2 2 2 2 2 2 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 11 13 13 13 13 13 14 14 14 14 15 15 15 15 15 16 16 17 17 17 17 17 17 17 17 17 17 17 17 18 18 18 18 18 18 19 19 19 19 20 20 20 20 20 20 20 21 21 22 22 22 22 22 23 23 24 24 24 24 24 24 24 27 28 30 31 31 31 31 31 31 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 34 34 34 35 35 35 35 36 36 36 36 37 38 38 38 39 39 40 40 41 41 41 42 42 44 44 45 45 49 51 51 52 52 52 53 53 53 53 53 54 54 54 
their          10             3 3 3 5 15 18 33 35 42 54 
them           8              3 10 18 22 31 42 42 54 
there          11             2 3 7 9 13 21 22 22 40 44 46 
these          2              5 18 
they           12             1 5 8 10 22 22 31 32 40 40 40 42 
thing          5              15 38 39 42 54 
things         3              17 17 36 
think          2              18 26 
this           10             7 9 16 22 22 27 28 31 32 41 
those          2              23 42 
thought        3              41 45 51 
three          2              22 31 
through        2              19 41 
time           4              10 17 22 32 
times          3              3 40 51 
to             72             2 2 6 7 7 7 9 9 10 10 11 13 13 13 14 14 14 14 14 16 16 17 17 17 18 18 18 18 19 20 20 22 22 23 24 24 31 32 32 32 32 32 32 33 33 35 36 36 37 38 38 40 40 41 41 41 41 42 42 45 45 45 46 48 49 49 51 52 52 53 54 54 
told           3              10 42 51 
tonight        2              2 21 
traders        6              3 31 32 32 35 52 
traveled       3              5 5 7 
tree           6              1 1 2 13 15 17 
trees          2              10 40 
two            6              31 32 32 32 33 34 
up             5              7 13 18 23 37 
venison        3              21 33 35 
very           3              14 14 42 
villages       2              5 7 
waiting        2              52 52 
warm           2              44 54 
was            67             1 1 2 2 7 7 7 7 7 8 9 9 9 9 9 9 9 10 10 14 14 14 14 14 15 16 17 17 18 18 18 19 20 21 22 22 22 24 24 27 28 30 31 32 33 35 36 38 38 40 40 40 41 41 41 42 42 44 44 46 46 49 52 53 54 54 54 
way            3              15 18 22 
we             5              11 13 13 13 25 
weather        2              1 10 
went           2              15 17 
were           16             1 2 2 3 4 7 8 9 22 23 32 32 32 37 40 40 
what           2              10 49 
when           3              18 39 52 
where          10             2 2 7 7 7 9 10 32 42 45 
which          6              7 22 31 31 37 40 
while          2              4 36 
white          2              33 37 
wife           2              14 14 
winged         2              39 41 
wings          2              38 54 
with           15             2 7 8 9 14 15 15 15 20 22 32 33 36 41 54 
without        5              27 40 41 41 45 
women          2              9 42 
wooden         2              3 9 
wore           2              27 53 
worshiped      3              42 42 42 
would          7              2 4 5 6 6 10 21 
yet            3              1 21 41 
you            2              12 50 
young          3              14 27 30 
